period,origin,origin_name,dest,dest_name,delta_weight
2016H2,10018,新竹市,10004,新竹縣,69
2016H2,10005,苗栗,63000,臺北,4
2016H2,10002,宜蘭,65000,新北,11
2016H2,10018,新竹市,66000,臺中,5
2016H2,10007,彰化,10004,新竹縣,-3
2016H2,10008,南投,10004,新竹縣,-3
2016H2,63000,臺北,10005,苗栗,1
2016H2,67000,臺南,10002,宜蘭,-1
2016H2,64000,高雄,10013,屏東,1
2016H2,10002,宜蘭,67000,臺南,2
2016H2,10013,屏東,10008,南投,2
2016H2,66000,臺中,68000,桃園,5
2016H2,10010,嘉義縣,68000,桃園,2
2016H2,68000,桃園,10015,花蓮,-9
2016H2,10004,新竹縣,68000,桃園,18
2016H2,10004,新竹縣,09007,連江,-1
2016H2,67000,臺南,10014,臺東,1
2016H2,68000,桃園,09020,金門,-2
2016H2,67000,臺南,10007,彰化,-1
2016H2,10018,新竹市,10013,屏東,2
2016H2,10013,屏東,65000,新北,-1
2016H2,10002,宜蘭,64000,高雄,4
2016H2,10005,苗栗,10009,雲林,2
2016H2,68000,桃園,67000,臺南,3
2016H2,10004,新竹縣,10016,澎湖,-1
2016H2,10005,苗栗,66000,臺中,9
2016H2,66000,臺中,10005,苗栗,1
2016H2,66000,臺中,10008,南投,-1
2016H2,10005,苗栗,10002,宜蘭,1
2016H2,10009,雲林,10007,彰化,1
2016H2,10004,新竹縣,10005,苗栗,7
2016H2,10004,新竹縣,10008,南投,3
2016H2,65000,新北,09020,金門,1
2016H2,10002,宜蘭,09007,連江,-2
2016H2,10007,彰化,10008,南投,-3
2016H2,65000,新北,67000,臺南,-1
2016H2,64000,高雄,67000,臺南,2
2016H2,68000,桃園,64000,高雄,-4
2016H2,10013,屏東,64000,高雄,4
2016H2,66000,臺中,65000,新北,6
2016H2,66000,臺中,63000,臺北,4
2016H2,63000,臺北,66000,臺中,6
2016H2,10008,南投,10015,花蓮,1
2016H2,10005,苗栗,10007,彰化,1
2016H2,10005,苗栗,10013,屏東,2
2016H2,63000,臺北,10002,宜蘭,2
2016H2,66000,臺中,10010,嘉義縣,1
2016H2,10015,花蓮,10020,嘉義市,1
2016H2,10002,宜蘭,10016,澎湖,-1
2016H2,10018,新竹市,09020,金門,-1
2016H2,10005,苗栗,10018,新竹市,-3
2016H2,10002,宜蘭,10005,苗栗,-2
2016H2,10009,雲林,10010,嘉義縣,-1
2016H2,10014,臺東,10004,新竹縣,1
2016H2,65000,新北,64000,高雄,5
2016H2,68000,桃園,09007,連江,1
2016H2,10015,花蓮,64000,高雄,-7
2016H2,10007,彰化,67000,臺南,1
2016H2,10008,南投,67000,臺南,-2
2016H2,10009,雲林,10017,基隆,-1
2016H2,63000,臺北,10013,屏東,-1
2016H2,10008,南投,10020,嘉義市,-1
2016H2,67000,臺南,10004,新竹縣,-1
2016H2,66000,臺中,10009,雲林,4
2016H2,10017,基隆,63000,臺北,3
2016H2,65000,新北,68000,桃園,20
2016H2,10004,新竹縣,10009,雲林,1
2016H2,10002,宜蘭,63000,臺北,9
2016H2,63000,臺北,10018,新竹市,-1
2016H2,64000,高雄,68000,桃園,10
2016H2,10015,花蓮,68000,桃園,5
2016H2,10020,嘉義市,68000,桃園,2
2016H2,66000,臺中,10002,宜蘭,-1
2016H2,09020,金門,10018,新竹市,2
2016H2,68000,桃園,10008,南投,2
2016H2,10018,新竹市,64000,高雄,1
2016H2,10004,新竹縣,10002,宜蘭,1
2016H2,10009,雲林,66000,臺中,3
2016H2,10008,南投,64000,高雄,3
2016H2,10005,苗栗,10017,基隆,1
2016H2,66000,臺中,10014,臺東,-1
2016H2,10015,花蓮,10016,澎湖,-1
2016H2,67000,臺南,68000,桃園,2
2016H2,10004,新竹縣,10014,臺東,-1
2016H2,65000,新北,10005,苗栗,-2
2016H2,10018,新竹市,68000,桃園,9
2016H2,63000,臺北,10015,花蓮,-3
2016H2,64000,高雄,10005,苗栗,-4
2016H2,64000,高雄,10008,南投,-1
2016H2,10015,花蓮,10005,苗栗,2
2016H2,10015,花蓮,10008,南投,2
2016H2,68000,桃園,65000,新北,-5
2016H2,10008,南投,68000,桃園,3
2016H2,10013,屏東,63000,臺北,1
2016H2,10020,嘉義市,10008,南投,1
2016H2,10020,嘉義市,10005,苗栗,1
2016H2,66000,臺中,10013,屏東,-2
2016H2,66000,臺中,10007,彰化,-3
2016H2,10008,南投,09007,連江,1
2016H2,10017,基隆,66000,臺中,2
2016H2,10005,苗栗,10004,新竹縣,-1
2016H2,10004,新竹縣,10007,彰化,-1
2016H2,63000,臺北,09020,金門,-1
2016H2,10002,宜蘭,66000,臺中,2
2016H2,66000,臺中,10018,新竹市,4
2016H2,10017,基隆,10002,宜蘭,-1
2016H2,10004,新竹縣,10018,新竹市,-2
2016H2,10014,臺東,10015,花蓮,1
2016H2,10015,花蓮,65000,新北,-19
2016H2,64000,高雄,63000,臺北,2
2016H2,10015,花蓮,63000,臺北,-2
2016H2,10018,新竹市,10005,苗栗,-3
2016H2,10018,新竹市,10008,南投,1
2016H2,10008,南投,10005,苗栗,-1
2016H2,10015,花蓮,10010,嘉義縣,1
2016H2,10002,宜蘭,10014,臺東,-1
2016H2,10016,澎湖,10015,花蓮,1
2016H2,63000,臺北,10004,新竹縣,3
2016H2,68000,桃園,10009,雲林,1
2016H2,66000,臺中,10015,花蓮,4
2016H2,10017,基隆,10007,彰化,1
2016H2,10004,新竹縣,63000,臺北,4
2016H2,10002,宜蘭,10007,彰化,2
2016H2,10002,宜蘭,10013,屏東,-2
2016H2,10013,屏東,66000,臺中,2
2016H2,10004,新竹縣,10010,嘉義縣,1
2016H2,68000,桃園,10002,宜蘭,4
2016H2,10009,雲林,10015,花蓮,1
2016H2,66000,臺中,09020,金門,-1
2016H2,10002,宜蘭,10018,新竹市,-3
2016H2,10018,新竹市,65000,新北,-4
2016H2,10016,澎湖,10017,基隆,1
2016H2,10008,南投,65000,新北,-2
2016H2,10007,彰化,63000,臺北,1
2016H2,10008,南投,63000,臺北,1
2016H2,10008,南投,10010,嘉義縣,1
2016H2,64000,高雄,10009,雲林,1
2016H2,10004,新竹縣,10017,基隆,3
2016H2,10020,嘉義市,10009,雲林,1
2016H2,10014,臺東,64000,高雄,1
2016H2,68000,桃園,10014,臺東,-1
2016H2,10013,屏東,10014,臺東,-1
2016H2,63000,臺北,68000,桃園,7
2016H2,10017,基隆,10015,花蓮,-1
2016H2,68000,桃園,10007,彰化,2
2016H2,66000,臺中,10004,新竹縣,6
2016H2,10002,宜蘭,10015,花蓮,6
2016H2,68000,桃園,10018,新竹市,-1
2016H2,67000,臺南,64000,高雄,3
2016H2,10014,臺東,68000,桃園,-1
2016H2,10002,宜蘭,09020,金門,-1
2016H2,10015,花蓮,10014,臺東,-2
2016H2,10007,彰化,10009,雲林,1
2016H2,10008,南投,10009,雲林,5
2016H2,10007,彰化,66000,臺中,4
2016H2,63000,臺北,10008,南投,1
2016H2,10008,南投,66000,臺中,10
2016H2,65000,新北,10007,彰化,1
2016H2,10018,新竹市,10002,宜蘭,-2
2016H2,10005,苗栗,67000,臺南,1
2016H2,64000,高雄,10007,彰化,-1
2016H2,10015,花蓮,10013,屏東,-2
2016H2,10007,彰化,10002,宜蘭,-1
2016H2,10008,南投,10002,宜蘭,-4
2016H2,10016,澎湖,68000,桃園,-1
2016H2,65000,新北,10018,新竹市,-8
2017H1,64000,高雄,10018,新竹市,1
2017H1,10015,花蓮,10018,新竹市,1
2017H1,10005,苗栗,10020,嘉義市,1
2017H1,68000,桃園,63000,臺北,-2
2017H1,10013,屏東,10015,花蓮,-1
2017H1,10014,臺東,10008,南投,1
2017H1,10004,新竹縣,10013,屏東,2
2017H1,10002,宜蘭,10004,新竹縣,-1
2017H1,10009,雲林,68000,桃園,2
2017H1,63000,臺北,65000,新北,13
2017H1,10005,苗栗,64000,高雄,3
2017H1,09020,金門,65000,新北,1
2017H1,63000,臺北,67000,臺南,1
2017H1,68000,桃園,10017,基隆,-3
2017H1,65000,新北,63000,臺北,6
2017H1,67000,臺南,10005,苗栗,1
2017H1,67000,臺南,10008,南投,3
2017H1,10014,臺東,65000,新北,4
2017H1,10014,臺東,63000,臺北,-1
2017H1,10020,嘉義市,10010,嘉義縣,4
2017H1,64000,高雄,09020,金門,1
2017H1,10009,雲林,10005,苗栗,1
2017H1,10005,苗栗,68000,桃園,9
2017H1,10009,雲林,10008,南投,-2
2017H1,10002,宜蘭,68000,桃園,18
2017H1,68000,桃園,10004,新竹縣,-10
2017H1,68000,桃園,66000,臺中,1
2017H1,10004,新竹縣,10015,花蓮,-1
2017H1,65000,新北,10017,基隆,-2
2017H1,63000,臺北,64000,高雄,-1
2017H1,10015,花蓮,10017,基隆,-1
2017H1,67000,臺南,65000,新北,1
2017H1,67000,臺南,63000,臺北,2
2017H1,10018,新竹市,63000,臺北,-1
2017H1,10004,新竹縣,09020,金門,2
2017H1,10007,彰化,10015,花蓮,2
